county_name,parameter,arithmetic_mean,low_birthweight,very_low_birthweight
Butte,Lead PM2.5 LC,0.002143,5.8,0.9
Del Norte,Lead PM2.5 LC,2.9e-4,4.9,NA
El Dorado,Lead PM2.5 LC,3.36e-4,6.6,1
El Dorado,Lead PM2.5 LC,3.56e-4,6.6,1
Fresno,Lead PM2.5 LC,0.001525,7.5,1.4
Fresno,Lead PM2.5 LC,0.001964,7.5,1.4
Fresno,Lead PM2.5 LC,3.33e-4,7.5,1.4
Imperial,Lead PM2.5 LC,0.013964,5.6,0.9
Inyo,Lead PM2.5 LC,3.51e-4,11.7,NA
Kern,Lead PM2.5 LC,0.001702,7.3,1.4
Kern,Lead PM2.5 LC,0.00182,7.3,1.4
Kern,Lead PM2.5 LC,4.12e-4,7.3,1.4
Los Angeles,Lead PM2.5 LC,0.001916,7.4,1.2
Los Angeles,Lead PM2.5 LC,2.37e-4,7.4,1.2
Los Angeles,Lead PM2.5 LC,3.05e-4,7.4,1.2
Los Angeles,Lead PM2.5 LC,5.31e-4,7.4,1.2
Marin,Lead PM2.5 LC,0.0012,5.1,0.8
Mariposa,Lead PM2.5 LC,3.76e-4,8.3,NA
Mariposa,Lead PM2.5 LC,4.52e-4,8.3,NA
Mono,Lead PM2.5 LC,2.69e-4,8.3,NA
Orange,Lead PM2.5 LC,0,6.3,0.9
Plumas,Lead PM2.5 LC,0.002152,11,NA
Riverside,Lead PM2.5 LC,0.002713,7.1,1.1
Riverside,Lead PM2.5 LC,0.001564,7.1,1.1
Riverside,Lead PM2.5 LC,0,7.1,1.1
Riverside,Lead PM2.5 LC,6.38e-4,7.1,1.1
Sacramento,Lead PM2.5 LC,0.002008,6.8,1.2
Sacramento,Lead PM2.5 LC,0.003017,6.8,1.2
San Benito,Lead PM2.5 LC,7.14e-4,6.7,NA
San Bernardino,Lead PM2.5 LC,0.001067,7.8,1.4
San Bernardino,Lead PM2.5 LC,5.51e-4,7.8,1.4
San Bernardino,Lead PM2.5 LC,4.57e-4,7.8,1.4
San Diego,Lead PM2.5 LC,0.002344,7,1.1
Santa Barbara,Lead PM2.5 LC,4.35e-4,6.7,0.9
Santa Clara,Lead PM2.5 LC,0.002792,6.9,0.9
Shasta,Lead PM2.5 LC,3.1e-4,6,0.7
Siskiyou,Lead PM2.5 LC,2.33e-4,8.5,NA
Stanislaus,Lead PM2.5 LC,0.003283,6.1,0.9
Trinity,Lead PM2.5 LC,2.65e-4,11.6,NA
Tulare,Lead PM2.5 LC,5.71e-4,7,1.3
Tulare,Lead PM2.5 LC,0.003148,7,1.3
