state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,county_name
06,007,0008,88128,5,39.76168,-121.84047,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,42,69,N,42,61,0,4,NA,NA,Certification not required,0.002143,0.001491,0.007,2018-07-31 00:00,0.005,2018-12-10 00:00,0.004,2018-04-26 00:00,0.004,2018-06-25 00:00,NA,NA,NA,NA,0.007,0.007,0.004,0.004,0.003,0.002,0,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,17020,"Chico, CA",2020-05-21,Butte
06,015,0002,88128,1,41.560952,-124.083964,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,100,82,Y,100,122,0,22,NA,NA,Certification not required,2.9e-4,6.08e-4,0.003,2018-11-13 00:00,0.003,2018-11-16 00:00,0.002,2018-04-23 00:00,0.001,2018-01-05 00:00,NA,NA,NA,NA,0.003,0.003,0.001,0.001,0.001,0,0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,18860,"Crescent City, CA",2020-05-21,Del Norte
06,017,9000,88128,1,38.976,-120.103506,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,119,98,Y,119,122,0,3,NA,NA,Certification not required,3.36e-4,7.73e-4,0.005,2018-06-04 00:00,0.005,2018-07-28 00:00,0.002,2018-04-23 00:00,0.002,2018-07-31 00:00,NA,NA,NA,NA,0.005,0.002,0.001,0.001,0.001,0,0,Bliss SP,Bliss SP (TRPA);,California,El Dorado,NA,40900,"Sacramento--Roseville--Arden-Arcade, CA",2020-05-21,El Dorado
06,017,9001,88128,1,38.9248,-119.97,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,118,97,Y,118,122,0,4,NA,NA,Certification not required,3.56e-4,7.1e-4,0.006,2018-07-28 00:00,0.002,2018-07-22 00:00,0.001,2018-01-05 00:00,0.001,2018-01-11 00:00,NA,NA,NA,NA,0.002,0.001,0.001,0.001,0.001,0,0,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,40900,"Sacramento--Roseville--Arden-Arcade, CA",2020-05-21,El Dorado
06,019,0011,88128,1,36.78538,-119.77321,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,99,81,Y,99,122,0,23,NA,NA,Certification not required,0.001525,0.001514,0.009,2018-11-19 00:00,0.007,2018-11-13 00:00,0.005,2018-11-16 00:00,0.004,2018-01-11 00:00,NA,NA,NA,NA,0.009,0.007,0.004,0.003,0.002,0.001,0,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2020-05-21,Fresno
06,019,0011,88128,5,36.78538,-119.77321,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,110,90,Y,110,122,0,12,NA,NA,Certification not required,0.001964,0.005595,0.015,2018-06-01 00:00,0.015,2018-11-19 00:00,0.014,2018-10-20 00:00,0.012,2018-01-02 00:00,NA,NA,NA,NA,0.015,0.014,0.011,0.009,0.006,0.002,-0.005,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2020-05-21,Fresno
06,019,9000,88128,1,37.22064,-119.155557,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,108,89,Y,108,122,0,14,NA,NA,Certification not required,3.33e-4,6.41e-4,0.005,2018-11-10 00:00,0.001,2018-03-09 00:00,0.001,2018-03-12 00:00,0.001,2018-03-24 00:00,NA,NA,NA,NA,0.001,0.001,0.001,0.001,0.001,0,0,Kaiser Wilderness,Kaiser,California,Fresno,NA,23420,"Fresno, CA",2020-05-21,Fresno
06,025,0005,88128,5,32.67618,-115.48307,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,55,90,N,54,61,0,6,NA,NA,Certification not required,0.013964,0.015028,0.06,2018-05-08 00:00,0.057,2018-07-07 00:00,0.053,2018-11-28 00:00,0.049,2018-06-04 00:00,NA,NA,NA,NA,0.06,0.057,0.053,0.035,0.019,0.008,0.001,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,20940,"El Centro, CA",2020-05-21,Imperial
06,027,0002,88128,1,37.360684,-118.330783,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,111,91,Y,111,122,0,11,NA,NA,Certification not required,3.51e-4,5.82e-4,0.003,2018-04-20 00:00,0.002,2018-02-10 00:00,0.002,2018-04-26 00:00,0.002,2018-07-31 00:00,NA,NA,NA,NA,0.002,0.002,0.001,0.001,0.001,0,0,White Mountain Research Center - Owens Valley Lab,"WMRC/NCORE, 3000 E. LINE ST., BISHOP, CA. 93514",California,Inyo,NA,13860,"Bishop, CA",2020-05-21,Inyo
06,029,0014,88128,5,35.356615,-119.062613,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,121,99,Y,119,122,0,0,NA,NA,Certification not required,0.001702,0.005901,0.021,2018-05-11 00:00,0.02,2018-08-03 00:00,0.016,2018-04-23 00:00,0.016,2018-11-16 00:00,NA,NA,NA,NA,0.02,0.016,0.012,0.009,0.005,0.001,-0.005,Bakersfield-California,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,12540,"Bakersfield, CA",2020-05-21,Kern
06,029,0014,88128,6,35.356615,-119.062613,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,61,100,Y,58,61,0,0,NA,NA,Certification not required,0.00182,0.004515,0.018,2018-03-03 00:00,0.01,2018-02-19 00:00,0.01,2018-03-21 00:00,0.01,2018-03-27 00:00,NA,NA,NA,NA,0.018,0.01,0.01,0.006,0.005,0.002,-0.003,Bakersfield-California,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,12540,"Bakersfield, CA",2020-05-21,Kern
06,029,9001,88128,1,34.821922,-118.887598,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,114,93,Y,114,122,0,8,NA,NA,Certification not required,4.12e-4,6.35e-4,0.003,2018-07-28 00:00,0.003,2018-07-31 00:00,0.002,2018-04-26 00:00,0.001,2018-01-20 00:00,NA,NA,NA,NA,0.003,0.002,0.001,0.001,0.001,0,0,Lebec-Peace Valley/Frazier Park Roads,"PEACE VALLEY RD/FRAZIER PARK MTN RD, LEBEC",California,Kern,Lebec,12540,"Bakersfield, CA",2020-05-21,Kern
06,037,1103,88128,5,34.06659,-118.22688,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,119,98,Y,119,122,0,3,NA,NA,Certification not required,0.001916,0.005226,0.016,2018-01-17 00:00,0.014,2018-01-02 00:00,0.014,2018-11-19 00:00,0.013,2018-05-20 00:00,NA,NA,NA,NA,0.014,0.014,0.01,0.009,0.006,0.001,-0.004,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21,Los Angeles
06,037,1103,88128,11,34.06659,-118.22688,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,59,97,Y,59,61,0,2,NA,NA,Certification not required,2.37e-4,0.001823,0.014,2018-11-10 00:00,0,2018-01-02 00:00,0,2018-01-08 00:00,0,2018-01-14 00:00,NA,NA,NA,NA,0.014,0,0,0,0,0,0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-04-06,Los Angeles
06,037,1103,88128,12,34.06659,-118.22688,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,59,97,Y,59,61,0,2,NA,NA,Certification not required,3.05e-4,0.002343,0.018,2018-11-10 00:00,0,2018-01-02 00:00,0,2018-01-08 00:00,0,2018-01-14 00:00,NA,NA,NA,NA,0.018,0,0,0,0,0,0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-04-06,Los Angeles
06,037,9034,88128,1,34.813034,-118.884819,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,9,NA,NA,Certification not required,5.31e-4,7.33e-4,0.006,2018-11-10 00:00,0.002,2018-11-19 00:00,0.001,2018-01-05 00:00,0.001,2018-01-23 00:00,NA,NA,NA,NA,0.002,0.001,0.001,0.001,0.001,0,0,Lebec,"PEACE VALLEY ROAD, LEBEC",California,Los Angeles,NA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21,Los Angeles
06,041,0002,88128,1,38.122979,-122.90944,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,7,NA,NA,Certification not required,0.0012,0.009529,0.102,2018-11-10 00:00,0.008,2018-11-13 00:00,0.004,2018-11-16 00:00,0.003,2018-01-02 00:00,NA,NA,NA,NA,0.008,0.004,0.001,0.001,0,0,0,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,41860,"San Francisco-Oakland-Hayward, CA",2020-05-21,Marin
06,043,0003,88128,1,37.71325,-119.7062,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,109,89,Y,109,122,0,13,NA,NA,Certification not required,3.76e-4,6.78e-4,0.003,2018-07-19 00:00,0.003,2018-08-06 00:00,0.003,2018-11-13 00:00,0.002,2018-07-25 00:00,NA,NA,NA,NA,0.003,0.003,0.001,0.001,0.001,0,0,Yosemite NP - Turtleback Dome,"TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,NA,NA,NA,2020-05-21,Mariposa
06,043,0003,88128,2,37.71325,-119.7062,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,104,85,Y,104,122,0,18,NA,NA,Certification not required,4.52e-4,7.62e-4,0.004,2018-07-16 00:00,0.003,2018-11-10 00:00,0.003,2018-11-13 00:00,0.002,2018-07-22 00:00,NA,NA,NA,NA,0.003,0.003,0.002,0.001,0.001,0,0,Yosemite NP - Turtleback Dome,"TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,NA,NA,NA,2020-05-21,Mariposa
